ndx,femur_x,femur_y,patella_x,patella_y,tibia_x,tibia_y,IMAGE_PATH_SAG_3D_DESS,jpg
0,157.21428571428575,115.24025974025966,41.889610389610425,117.31818181818176,185.2662337662338,289.7857142857142,/home/asy51/vstor/data/oai/image03/00m/0.E.1/9223789/20050623/10929709.tar.gz,/home/asy51/vstor/data/oai/image03/00m/0.E.1/9223789/20050623/10929709_jpg/080.jpg
1,168.6428571428572,155.75974025974023,79.29220779220785,170.30519480519473,217.47402597402603,301.21428571428567,/home/asy51/vstor/data/oai/image03/00m/0.E.1/9486827/20050607/10550809.tar.gz,/home/asy51/vstor/data/oai/image03/00m/0.E.1/9486827/20050607/10550809_jpg/080.jpg
2,159.29220779220785,127.70779220779212,57.474025974026006,117.31818181818176,193.57792207792212,293.9415584415584,/home/asy51/vstor/data/oai/image03/00m/0.C.2/9172581/20050308/10174612.tar.gz,/home/asy51/vstor/data/oai/image03/00m/0.C.2/9172581/20050308/10174612_jpg/080.jpg
3,160.33116883116887,163.03246753246748,64.74675324675329,159.91558441558436,208.12337662337669,294.98051948051943,/home/asy51/vstor/data/oai/image03/00m/0.E.1/9568504/20050622/10936714.tar.gz,/home/asy51/vstor/data/oai/image03/00m/0.E.1/9568504/20050622/10936714_jpg/080.jpg
4,166.5649350649351,116.27922077922074,67.8636363636364,113.16233766233762,173.8376623376624,287.7077922077922,/home/asy51/vstor/data/oai/image03/00m/0.E.1/9478732/20050809/10460212.tar.gz,/home/asy51/vstor/data/oai/image03/00m/0.E.1/9478732/20050809/10460212_jpg/080.jpg
5,161.37012987012994,133.94155844155836,73.05844155844159,134.98051948051943,198.77272727272734,282.51298701298697,/home/asy51/vstor/data/oai/image03/00m/0.C.2/9390719/20041110/10291412.tar.gz,/home/asy51/vstor/data/oai/image03/00m/0.C.2/9390719/20041110/10291412_jpg/080.jpg
6,175.91558441558445,143.2922077922077,62.66883116883122,136.01948051948045,216.43506493506501,306.4090909090909,/home/asy51/vstor/data/oai/image03/00m/0.C.2/9201011/20050217/10170712.tar.gz,/home/asy51/vstor/data/oai/image03/00m/0.C.2/9201011/20050217/10170712_jpg/080.jpg
7,174.87662337662343,123.55194805194799,84.48701298701303,104.85064935064929,210.20129870129878,263.8116883116883,/home/asy51/vstor/data/oai/image03/00m/0.E.1/9672573/20060109/10661109.tar.gz,/home/asy51/vstor/data/oai/image03/00m/0.E.1/9672573/20060109/10661109_jpg/080.jpg
8,146.82467532467538,149.525974025974,70.98051948051952,147.4480519480519,186.30519480519487,278.3571428571428,/home/asy51/vstor/data/oai/image03/00m/0.C.2/9391372/20040713/10087105.tar.gz,/home/asy51/vstor/data/oai/image03/00m/0.C.2/9391372/20040713/10087105_jpg/080.jpg
9,167.60389610389618,110.0454545454545,65.78571428571433,125.62987012987008,205.00649350649357,276.27922077922074,/home/asy51/vstor/data/oai/image03/00m/0.E.1/9004175/20050602/10541512.tar.gz,/home/asy51/vstor/data/oai/image03/00m/0.E.1/9004175/20050602/10541512_jpg/080.jpg
10,153.05844155844161,129.78571428571422,59.5519480519481,123.55194805194799,196.69480519480524,281.47402597402595,/home/asy51/vstor/data/oai/image03/00m/0.C.2/9287216/20050322/10218312.tar.gz,/home/asy51/vstor/data/oai/image03/00m/0.C.2/9287216/20050322/10218312_jpg/080.jpg
11,169.68181818181822,102.7727272727272,73.05844155844159,111.08441558441552,185.2662337662338,245.11038961038957,/home/asy51/vstor/data/oai/image03/00m/0.C.2/9208055/20050315/10177612.tar.gz,/home/asy51/vstor/data/oai/image03/00m/0.C.2/9208055/20050315/10177612_jpg/080.jpg
12,168.6428571428572,144.33116883116878,61.62987012987017,159.91558441558436,226.82467532467538,291.8636363636363,/home/asy51/vstor/data/oai/image03/00m/0.E.1/9031426/20050623/10565212.tar.gz,/home/asy51/vstor/data/oai/image03/00m/0.E.1/9031426/20050623/10565212_jpg/080.jpg
13,161.37012987012994,161.99350649350646,69.94155844155847,145.3701298701298,200.85064935064943,319.91558441558436,/home/asy51/vstor/data/oai/image03/00m/0.E.1/9355228/20051222/10643812.tar.gz,/home/asy51/vstor/data/oai/image03/00m/0.E.1/9355228/20051222/10643812_jpg/080.jpg
14,180.07142857142864,132.90259740259734,76.1753246753247,143.2922077922077,214.35714285714292,276.27922077922074,/home/asy51/vstor/data/oai/image03/00m/0.C.2/9002817/20050330/10756612.tar.gz,/home/asy51/vstor/data/oai/image03/00m/0.C.2/9002817/20050330/10756612_jpg/080.jpg
15,165.52597402597408,151.60389610389603,69.94155844155847,160.95454545454538,198.77272727272734,279.39610389610385,/home/asy51/vstor/data/oai/image03/00m/0.E.1/9440518/20050825/10485912.tar.gz,/home/asy51/vstor/data/oai/image03/00m/0.E.1/9440518/20050825/10485912_jpg/080.jpg
16,164.48701298701306,123.55194805194799,58.512987012987054,127.70779220779212,215.39610389610394,251.3441558441558,/home/asy51/vstor/data/oai/image03/00m/0.C.2/9329062/20050416/10378714.tar.gz,/home/asy51/vstor/data/oai/image03/00m/0.C.2/9329062/20050416/10378714_jpg/080.jpg
